Text,Category
"Ban on hunting comes into force
 
 Fox hunting with dogs is now illegal in England and Wales after a ban on the activity came into force overnight.
 
 The law faces a stiff test this weekend, with the Countryside Alliance saying many hunts will be out in force. Chief police officers spokesman Nigel Yeo said he expected most people would obey the law - by drag hunting or chasing foxes then shooting them. He said police would challenge the ""one of two isolated hunts"" which are threatening to break the law.
 
 But Simon Hart of the Countryside Alliance has questioned how police will ensure there are no violations. ""The definitions of legal and illegal hunting are so blurred that the police are being asked to make impossible judgements. ""You can hunt a rat, but not a mouse, a rabbit but not a hare, an artificial scent, but not a real one,"" he said.
 
 The Attorney General, Lord Goldsmith, has so far issued no instructions to police on how they should deal with hunters who violate the law. He said he will consult the Director of Public Prosecutions and the police ""in the near future"" to decide what measures to take with regards to hunting prosecutions. He has rejected a ""blanket policy"" of not enforcing the ban until the House of Lords has considered its legality. John Cooper, a barrister and chairman of the League Against Cruel Sports, said the anti-hunting lobby expects the authorities to prosecute wherever there is clear evidence of illegal hunting practices. He said police had ""acknowledged their duty to investigate allegations of hunting offences"".
 
 The Beaufort Hunt had one pack out on Thursday and has promised a hunt this weekend. Under the new law hunters have a number of legal options available to them.
 
 As well as being able to mount a hunt for an artificial scent, it will still be legal for the hunts to ""flush out"" foxes, as long as they shoot their quarry rather than set the hounds on them. ""We are not going away. We will keep these hounds going, we will keep this community going and in the end we will come back and hunt when hunting is legal again,"" hunt master, Captain Ian Farquhar, said. But Tony Banks, Labour MP for West Ham, said the issue would soon disappear, and that ""people in a few years time will be wondering what it was all about"". He said had the government not prevaricated since 1997 in introducing the ban, hunting with dogs would have passed into history like other former country pursuits such as otter hunting and badger baiting. ""Let the election decide this because the Conservatives have made clear that if they get elected into government they will restore hunting,"" he said.
",politics
"Clarke to unveil immigration plan
 
 New controls on economic migrants and tighter border patrols will be part of government plans unveiled on Monday.
 
 Home Secretary Charles Clarke wants to introduce a points system for economic migrants and increase deportations of failed asylum seekers. Tony Blair has said people are right to be concerned about abuses of the system but there is no ""magic bullet"". The Tories say Labour is acting too late while the Lib Dems say the plans may not produce an efficient system.
 
 The government's new five-year plan is designed to show how Labour would reform immigration and asylum controls if it wins the election, expected to be held in May. Ministers deny they have been spurred into action by Tory campaigning or because the prime minister is worried too little has been done.
 
 Instead, they say the plans are part of an ""evolving"" process aimed at winning public confidence. Mr Clarke is expected to announce an end to the automatic right to settle for immigrants' families, and the introduction of fingerprinting for all visa applicants. The prime minister on Sunday said immigration would be ""toughened up"" to ensure only those immigrants with skills the UK really needs will be granted work permits. But he rejected the Tories' call for a quota on economic migrants, saying no ""arbitrary figure"" could reflect the UK's needs.
 
 Mr Blair told BBC Radio 4's Westminster Hour: ""We should cut the number or increase it depending on the country's needs... ""The public are worried about this, they are worried rightly, because there are abuses of the immigration and asylum system."" But he defended the UK's current regime, saying all systems around the world were subject to abuse. Tory proposals to cap the number of asylum seekers and process all claims abroad would not work, argued Mr Blair.
 
 He said: ""We will not be... pretending there is some simple easy way of processing Britain's asylum seekers in some other country, because no such other country exists."" Conservative shadow home secretary David Davis said the government had failed to remove 250,000 failed asylum seekers from the UK and limits on economic migrants had been a ""shambles"". ""What we are seeing today is a rather panicky response from the government after eight years of failure,"" he said. Liberal Democrat home affairs spokesman Mark Oaten said Labour was right to reject the Tories' idea of quotas on asylum. But he said it was yet to be seen if Mr Clarke could deliver ""a fair and efficient asylum system"".
",politics
"Lib Dems' new election PR chief
 
 The Lib Dems have appointed a senior figure from BT to be the party's new communications chief for their next general election effort.
 
 Sandy Walkington will now work with senior figures such as Matthew Taylor on completing the party manifesto. Party chief executive Lord Rennard said the appointment was a ""significant strengthening of the Lib Dem team"". Mr Walkington said he wanted the party to be ready for any ""mischief"" rivals or the media tried to throw at it.
 
 ""My role will be to ensure this new public profile is effectively communicated at all levels,"" he said. ""I also know the party will be put under scrutiny in the media and from the other parties as never before - and we will need to show ourselves ready and prepared to counter the mischief and misrepresentation that all too often comes from the party's opponents. ""The party is already demonstrating on every issue that it is the effective opposition."" Mr Walkington's new job title is director of general election communications.
",politics
"Howard taunts Blair over splits
 
 Tony Blair's feud with Gordon Brown is damaging the way the UK is governed, Tory leader Michael Howard has claimed in a heated prime minister's questions.
 
 Mr Howard asked: ""How can they fight crime when they are fighting each other?"" That question was later unveiled as the headline for new Tory campaign posters. But Mr Blair dismissed the talk of splits and said people's priorities at the next elections would be on the economic successes achieved by Labour. ""He can stick up whatever he likes on billboards about something in a book but what the public will concentrate on are the low mortgages, low inflation, low unemployment that we delivered and that he failed to,"" he said. The chancellor is currently on a high-profile tour of Africa to highlight new anti-poverty plans. But before doing so, he insisted he still trusted Mr Blair, despite claims to the contrary in a new book.
 
 Brown's Britain, by Robert Peston, says there is mutual animosity between the two men. It claims Mr Blair said in November 2003 he would stand down as prime minister before the next election. But he went back on his pledge after support from Cabinet allies and suspicion that Mr Brown was manoeuvring against him, it says.
 
 Mr Peston's book claimed that Mr Brown told Mr Blair: ""There is nothing you could ever say to me now that I could ever believe."" Mr Blair directly denied that quote on Wednesday. He again insisted there could be no deals about the premiership but twice declined directly to say whether or not he had offered to quit.
 
 The Tory leader countered that such agreements had been struck twice at dinners with the chancellor. He declared: ""He is the deals on meals prime minister. No wonder the chancellor is not a happy eater."" He continued: ""How can there be discipline in schools when there is no discipline in government, how can they clean up our hospitals when they don't clean up their act?"" Mr Blair said he would not respond to ""tittle tattle in books"" and promised to hail Labour's record on the economy, waiting lists and law and order ""from now until polling day"". Later at their poster launch Tory co-chairman Liam Fox said his party would exploit opportunities to show how ""juvenile"" the prime minister and chancellor were.
 
 Labour staged a show of unity at its own poster launch on Tuesday, where Mr Brown was joined by Alan Milburn, who Mr Blair controversially put in charge of election planning in place of the chancellor. But Liberal Democrat leader Charles Kennedy told BBC News: ""The government is clearly split at the top. This kind of cosmetic exercise does not persuade anybody."" Later this week Mr Blair is expected to outline the direction of his party's next election manifesto. The prime minister and chancellor faced backbench discontent at Monday's meeting of the Parliamentary Labour Party over claims made Mr Peston's book.
",politics
"Brown outlines third term vision
 
 Gordon Brown has outlined what he thinks should be the key themes of New Labour's next general election bid.

",politics
"Defiant hunts put ban to the test
 
 Thousands of hunt supporters have been out on the first day of hunting in England and Wales after the ban on hunting with dogs came into force.
",politics
"Pakistani women 'must not hide'
 
 Hiding women away in the home hidden behind veils is a backward view of Islam, President Musharraf of Pakistan has said during a visit to Britain.
",politics
"Labour chooses Manchester
 
 The Labour Party will hold its 2006 autumn conference in Manchester and not Blackpool, it has been confirmed.

",politics
"Guantanamo man 'suing government'
 
 A British terror suspect held in Guantanamo Bay for 33 months plans to sue the government, it is reported.
",politics
"Chelsea denied by James heroics
 
 A brave defensive display, led by keeper David James, helped Manchester City hold the leaders Chelsea.


",sport
"Italy aim to rattle England
 
 Italy coach John Kirwan believes his side can upset England as the Six Nations wooden spoon battle hots up.
 
",sport
"Owen determined to stay in Madrid
 
 England forward Michael Owen has told the BBC he is happy in Spain and has no plans to quit Real Madrid to return to the Premiership in the near future.
",sport
"Campbell to be Lions consultant
 
 Former government communications chief Alastair Campbell will act as a media consultant to Sir Clive Woodward's 2005 Lions on their tour to New Zealand.

",sport
"Klinsmann issues Lehmann warning
 
 Germany coach Jurgen Klinsmann has warned goalkeeper Jens Lehmann he may have to quit Arsenal to keep his World Cup dreams alive.
 
",sport
"Robinson answers critics
 
 England captain Jason Robinson has rubbished suggestions that the world champions are a team in decline.
",sport
"Kewell waits as injury drags on
 
 Liverpool winger Harry Kewell is struggling to recover from his Achilles tendinitis problem and may not recover until March",sport
"Ferdinand casts doubt over Glazer
 
 Rio Ferdinand has said he is unsure of Malcolm Glazer's motives after the American billionaire launched a new offer to buy Manchester United.
",sport
"White prepared for battle
 
 Tough-scrummaging prop Julian White is expecting a resurgent Wales to give him a rough ride in England's Six Nations opener in Cardiff on Saturday.
",sport
"McClaren eyes Uefa Cup top spot
 
 Steve McClaren wants his Middlesbrough team to win their Uefa Cup group by beating Partizan Belgrade.
",sport
"Beckham relief as Real go through
 
 David Beckham expressed his relief at Real Madrid's passage to the Champions League knockout phase.
",sport
"Poll explains free-kick decision
 
 Referee Graham Poll said he applied the laws of the game in allowing Arsenal striker Thierry Henry's free-kick in Sunday's 2-2 draw with Chelsea.
",sport
"Johnson accuses British sprinters
 
 Former Olympic champion Michael Johnson has accused Britain's top sprinters of lacking pride and ambition.
",sport
"Bates seals takeover
 
 Ken Bates has completed his takeover of Leeds United.
",sport
"Bellamy under new fire
 
 Newcastle boss Graeme Souness has reopened his dispute with Craig Bellamy after claiming the Welshman was ""not good enough"" for the Magpies. 
",sport
"Reyes tricked into Real admission
 
 Jose Antonio Reyes has added to speculation linking him with a move from Arsenal to Real Madrid after falling victim to a radio prank.

",sport
"Williams stays on despite dispute
 
 Matt Williams insists he has no thoughts of quitting as national coach as a result of the power struggle currently gripping Scottish rugby.

",sport
"Adriano's Chelsea link rejected
 
 Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker.

",sport
"Edwards tips Idowu for Euro gold
 
 World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.

",sport
"European medal chances improve
 
 What have the European Indoor trials told us? Well, I think we could be heading to the European Championships with half a dozen medal prospects.

",sport
"Rich pickings for hi-tech thieves
 
 Viruses, trojans and other malicious programs sent on to the net to catch you out are undergoing a subtle change.

",tech
"Kenyan school turns to handhelds
 
 At the Mbita Point primary school in western Kenya students click away at a handheld computer with a stylus.

",tech
"Concerns over Windows ATMs
 
 Cash machine networks could soon be more susceptible to computer viruses, a security firm has warned.
",tech
"Microsoft gets the blogging bug
 
 Software giant Microsoft is taking the plunge into the world of blogging.",tech
"Finding new homes for old phones
 
 Re-using old mobile phones is not just good for the environment, it has social benefits too.

",tech
"Games 'deserve a place in class'
 
 Computer games could enhance learning and have a legitimate place in the classroom, say researchers.

",tech
"Warning over tsunami aid website
 
 Net users are being told to avoid a scam website that claims to collect cash on behalf of tsunami victims.
",tech
"Digital guru floats sub-$100 PC
 
 Nicholas Negroponte, chairman and founder of MIT's Media Labs, says he is developing a laptop PC that will go on sale for less than $100 (£53).

",tech
"France starts digital terrestrial
 
 France has become the last big European country to launch a digital terrestrial TV (DTT) service.
",tech
"Britons fed up with net service
 
 A survey conducted by PC Pro Magazine has revealed that many Britons are unhappy with their internet service.

",tech
"Gates opens biggest gadget fair
 
 Bill Gates has opened the Consumer Electronics Show (CES) in Las Vegas, saying that gadgets are working together more to help people manage multimedia content around the home and on the move.
 
",tech
"DS aims to touch gamers
 
 The mobile gaming industry is set to explode in 2005 with a number of high-profile devices offering a range of gaming and other features such as movie and music playback.
",tech
"Internet boom for gift shopping
 
 Cyberspace is becoming a very popular destination for Christmas shoppers.
",tech
"Broadband steams ahead in the US
 
 More and more Americans are joining the internet's fast lane, according to official figures.

",tech
"No re-draft' for EU patent law
 
 A proposed European law on software patents will not be re-drafted by the European Commission (EC) despite requests by MEPs.",tech
"When invention turns to innovation
 
 It is unlikely that future technological inventions are going to have the same kind of transformative impact that they did in the past.
",tech
"Games win for Blu-ray DVD format
 
 The next-generation DVD format Blu-ray is winning more supporters than its rival, according to its backers.

",tech
"Digital guru floats sub-$100 PC
 
 Nicholas Negroponte, chairman and founder of MIT's Media Labs, says he is developing a laptop PC that will go on sale for less than $100 (£53).
",tech
"Honour for UK games maker
 
 Leading British computer games maker Peter Molyneux has been made an OBE in the New Year Honours list.
",tech
"Football Manager scores big time
 
 For the past decade or so the virtual football fans among us will have become used to the annual helping of Championship Manager (CM). 
",tech
